actions_per_minute,avg_time_between_actions,repeated_actions_ratio,max_actions_in_10s,action_count,action_times,action_types,last_action_time,same_ip_with_other_user,num_users_on_same_ip,ip_address,self_play_detected,time_between_account_switch,shared_device_ids,history_vs_same_ip_ratio,vs_same_user_ratio,win_loss_ratio_against_new_users,games_played,wins_against_new,session_duration_mean,session_start_time,sessions_count,actions_vs_idle_ratio,night_activity_ratio,night_sessions,total_sessions,is_cheating,suspicious_event_count,ip_suspiciousness_score,ip_change_count,ip_based_games,ip_based_wins,cheating_score_features
14.87,1.15,0.16,1,33,"[11.82, 6.18, 21.32, 13.86, 22.53, 27.71, 10.65, 11.79, 13.14, 11.75, 10.99, 6.36, 0.77, 26.64, 25.81, 28.97, 21.68, 28.01, 16.58, 3.8, 14.51, 5.44, 13.96, 16.87, 16.04, 28.97, 25.76, 28.21, 7.72, 28.98, 10.38, 24.1, 27.33]",{'move': 33},2025-05-10T14:10:56.077914,True,9,192.168.1.156,False,3.01,False,0.02,0.04,0.45,38,11,14.96,2025-05-10T14:01:27.447914,7,0.74,0.86,6,7,False,0,0.0,0,0,0,47.26
14.48,1.61,0.72,6,38,"[10.37, 2.37, 13.24, 20.36, 14.74, 9.56, 21.95, 11.49, 13.33, 15.47, 6.63, 20.9, 26.63, 28.9, 26.55, 12.37, 16.77, 15.94, 22.45, 9.13, 5.82, 4.07, 27.75, 0.13, 14.89, 20.94, 2.94, 26.66, 22.84, 4.17, 19.72, 28.46, 20.1, 21.48, 2.28, 4.52, 21.08, 23.61]",{'move': 38},2025-04-22T17:11:18.057960,True,7,192.168.1.215,False,0.46,False,0.05,0.14,0.35,39,27,15.14,2025-04-22T17:01:27.447960,4,0.76,1.0,4,4,False,0,0.0,0,0,0,48.71
10.52,1.16,0.74,5,72,"[15.02, 19.14, 17.18, 12.07, 9.43, 14.59, 24.57, 12.28, 10.77, 25.36, 1.42, 6.42, 8.25, 7.36, 19.86, 5.1, 22.39, 25.39, 7.87, 0.23, 28.46, 22.19, 6.32, 25.0, 17.47, 27.28, 28.02, 17.48, 15.18, 11.04, 26.22, 19.74, 10.07, 19.57, 5.91, 16.24, 7.3, 2.53, 16.68, 14.9, 19.97, 21.06, 4.86, 20.52, 16.69, 16.65, 23.31, 27.04, 12.66, 17.37, 17.65, 16.77, 2.22, 28.19, 25.0, 4.78, 19.19, 26.9, 17.87, 25.3, 10.96, 10.67, 23.51, 27.99, 21.37, 22.94, 19.91, 24.04, 5.7, 10.66, 23.26, 9.63]",{'move': 72},2025-05-11T18:21:04.388040,True,4,192.168.1.43,False,5.97,False,0.24,0.08,0.71,42,18,28.02,2025-05-11T18:01:27.448040,1,0.73,0.0,0,1,False,0,0.0,0,0,0,58.169999999999995
16.12,1.28,0.41,3,37,"[8.53, 28.03, 3.81, 0.62, 5.69, 11.18, 6.09, 7.08, 22.65, 7.36, 4.87, 24.64, 10.24, 2.95, 17.52, 23.38, 13.76, 11.86, 0.91, 18.46, 3.71, 17.72, 5.36, 28.13, 6.88, 29.05, 5.82, 16.08, 26.6, 28.98, 16.94, 2.0, 17.85, 1.89, 4.26, 18.93, 13.59]",{'move': 37},2025-04-22T04:09:20.868165,True,10,192.168.1.9,False,6.06,False,0.06,0.19,0.43,29,2,16.32,2025-04-22T04:01:27.448165,10,0.44,0.9,9,10,False,0,0.0,0,0,0,56.21
31.45,1.83,0.7,3,95,"[8.53, 23.75, 9.22, 17.91, 14.61, 13.12, 21.58, 26.2, 6.2, 10.89, 18.79, 23.36, 11.28, 9.37, 13.21, 0.57, 22.23, 23.72, 16.22, 25.17, 3.34, 17.01, 27.86, 14.67, 25.13, 20.08, 5.26, 14.59, 20.77, 9.27, 4.89, 13.86, 25.78, 8.7, 20.78, 5.37, 20.15, 24.95, 2.17, 10.39, 26.59, 2.17, 29.14, 15.95, 20.67, 23.86, 28.23, 13.09, 14.36, 12.52, 12.91, 15.62, 25.22, 22.13, 25.86, 7.2, 20.78, 6.59, 1.63, 0.27, 7.07, 24.84, 8.7, 0.87, 9.31, 6.03, 23.93, 2.14, 7.09, 29.03, 5.62, 0.25, 1.44, 23.33, 6.59, 6.43, 17.43, 3.63, 21.77, 7.0, 6.81, 12.72, 6.85, 19.19, 20.8, 5.75, 6.63, 7.09, 26.88, 28.6, 25.01, 24.1, 2.14, 26.46, 3.43]",{'move': 95},2025-04-18T02:24:18.148216,True,9,192.168.1.49,False,2.45,False,0.22,0.12,0.97,29,12,47.27,2025-04-18T02:01:27.448216,1,0.43,0.0,0,1,False,0,0.0,0,0,0,98.44000000000001
34.42,0.57,0.31,1,22,"[11.11, 29.26, 14.21, 9.65, 22.77, 8.92, 4.61, 4.96, 5.26, 27.67, 26.75, 20.42, 7.4, 16.03, 24.2, 21.29, 14.12, 10.18, 3.77, 6.23, 5.07, 21.08]",{'move': 22},2025-04-20T09:06:42.408304,True,3,192.168.1.96,False,3.46,False,0.14,0.07,0.33,10,2,31.5,2025-04-20T09:01:27.448304,3,0.93,1.0,3,3,False,0,0.0,0,0,0,77.73000000000002
30.34,1.3,0.41,5,61,"[8.18, 18.93, 6.44, 28.81, 6.96, 23.79, 28.48, 29.89, 3.02, 5.46, 5.26, 1.49, 15.62, 6.95, 17.42, 4.58, 13.61, 10.7, 18.51, 18.79, 24.23, 17.64, 11.47, 5.89, 14.74, 13.08, 2.42, 3.34, 26.86, 4.9, 10.19, 5.88, 25.38, 6.88, 1.73, 6.12, 22.21, 8.49, 18.26, 20.72, 16.39, 3.03, 1.98, 11.95, 4.7, 18.23, 7.48, 5.79, 5.89, 12.06, 0.98, 6.18, 20.87, 26.24, 18.44, 25.3, 18.62, 7.73, 17.62, 5.73, 15.44]",{'move': 61},2025-04-30T05:14:21.418341,True,3,192.168.1.15,False,1.82,True,0.02,0.06,0.64,13,3,59.54,2025-04-30T05:01:27.448341,10,0.37,0.1,1,10,False,0,0.0,0,0,0,104.6
5.64,1.54,0.51,5,47,"[18.28, 26.88, 22.24, 25.99, 22.79, 27.98, 25.3, 3.95, 8.65, 3.28, 22.51, 19.88, 11.66, 26.7, 28.41, 12.19, 8.4, 9.48, 18.87, 7.42, 8.57, 28.54, 27.46, 27.72, 13.42, 20.92, 14.49, 6.72, 2.59, 16.76, 15.78, 6.65, 9.52, 27.88, 12.5, 6.27, 3.09, 0.75, 29.65, 5.47, 17.8, 17.95, 26.44, 16.04, 8.97, 14.09, 9.41]",{'move': 47},2025-05-13T04:13:53.758461,True,4,192.168.1.216,False,8.23,False,0.06,0.11,0.91,36,6,20.73,2025-05-13T04:01:27.448461,3,0.51,0.67,2,3,False,0,0.0,0,0,0,48.91
23.72,1.8,0.74,2,34,"[10.77, 28.52, 4.45, 18.84, 14.46, 17.76, 23.71, 7.3, 9.09, 23.67, 22.52, 10.78, 5.17, 25.43, 9.67, 13.37, 12.06, 5.6, 12.13, 11.98, 27.8, 10.58, 26.79, 2.47, 3.8, 21.22, 2.84, 12.2, 26.72, 0.91, 16.86, 6.17, 5.05, 16.49]",{'move': 34},2025-04-20T20:09:14.628566,True,10,192.168.1.49,False,0.03,False,0.03,0.09,0.38,27,2,17.3,2025-04-20T20:01:27.448566,9,0.58,0.33,3,9,False,0,0.0,0,0,0,58.0
11.96,1.06,0.75,6,37,"[11.57, 25.36, 8.44, 29.97, 18.23, 18.94, 19.31, 2.24, 22.95, 16.03, 1.56, 2.27, 16.38, 7.77, 11.49, 24.41, 14.42, 18.65, 7.15, 20.14, 13.84, 29.4, 2.9, 2.77, 12.71, 29.93, 17.97, 12.77, 19.73, 29.67, 5.71, 23.27, 1.62, 26.89, 15.33, 17.85, 15.46]",{'move': 37},2025-04-28T19:11:02.548679,True,9,192.168.1.126,False,7.54,True,0.16,0.12,0.48,31,7,18.55,2025-04-28T19:01:27.448679,1,0.98,0.0,0,1,False,0,0.0,0,0,0,58.59999999999999
19.2,1.71,0.44,3,83,"[21.01, 10.5, 2.41, 21.04, 16.21, 16.74, 13.68, 4.94, 11.81, 11.05, 11.29, 23.92, 27.26, 12.26, 15.63, 26.25, 29.18, 10.47, 23.16, 13.89, 12.67, 4.64, 7.23, 29.68, 10.71, 18.04, 24.95, 17.72, 23.63, 26.66, 0.4, 26.26, 22.14, 24.84, 28.31, 15.26, 17.38, 30.0, 15.65, 16.14, 20.93, 22.43, 2.53, 7.44, 28.89, 28.63, 26.15, 29.45, 22.21, 3.01, 1.42, 13.57, 16.89, 10.98, 1.94, 29.2, 2.32, 14.71, 26.38, 16.62, 7.04, 15.16, 14.59, 23.24, 28.9, 14.96, 6.71, 9.85, 29.2, 3.53, 21.26, 5.58, 19.63, 23.52, 15.04, 2.57, 16.14, 20.59, 2.89, 14.24, 26.85, 19.56, 25.11]",{'move': 83},2025-04-26T03:24:34.318753,True,9,192.168.1.51,False,4.3,True,0.3,0.19,0.4,6,4,231.15,2025-04-26T03:01:27.448753,3,0.35,0.0,0,3,False,0,0.0,0,0,0,272.04
11.2,0.74,0.43,6,56,"[20.19, 0.36, 2.82, 23.96, 28.74, 21.05, 23.89, 6.63, 18.9, 20.71, 17.4, 7.11, 5.56, 11.81, 17.13, 17.9, 28.02, 15.34, 28.35, 15.66, 10.44, 4.93, 7.3, 12.69, 28.0, 18.56, 23.16, 6.77, 4.75, 19.14, 26.36, 15.63, 5.59, 26.09, 5.69, 11.05, 29.13, 2.27, 1.29, 23.7, 24.75, 6.87, 1.58, 7.85, 21.14, 6.76, 11.67, 2.94, 13.76, 6.72, 26.63, 8.56, 18.94, 25.59, 7.83, 3.57]",{'move': 56},2025-05-11T00:14:56.678875,True,9,192.168.1.30,False,6.43,False,0.06,0.18,0.87,48,22,16.86,2025-05-11T00:01:27.448875,1,0.94,1.0,1,1,False,0,0.0,0,0,0,54.709999999999994
22.17,1.23,0.61,5,36,"[19.27, 16.88, 26.32, 11.13, 26.0, 21.89, 25.72, 19.51, 26.06, 25.57, 17.16, 13.03, 22.0, 9.41, 27.87, 11.97, 27.26, 27.15, 24.06, 17.43, 1.64, 21.36, 8.13, 8.57, 8.35, 22.19, 29.39, 23.86, 26.02, 0.84, 22.62, 9.3, 14.01, 4.45, 29.91, 9.9]",{'move': 36},2025-04-13T17:12:23.678976,True,6,192.168.1.228,False,0.11,True,0.29,0.06,0.65,6,3,109.37,2025-04-13T17:01:27.448976,3,0.33,0.33,1,3,False,0,0.0,0,0,0,148.15000000000003
5.94,1.11,0.56,7,69,"[0.86, 10.75, 14.91, 2.66, 3.44, 14.33, 24.62, 16.58, 25.59, 8.68, 14.95, 29.08, 15.95, 24.55, 3.55, 10.67, 16.39, 24.93, 4.12, 22.09, 0.89, 10.22, 8.73, 29.35, 13.01, 18.38, 15.12, 20.87, 17.31, 23.35, 26.47, 19.59, 3.94, 23.95, 12.77, 13.41, 15.76, 1.14, 19.42, 19.61, 8.86, 20.79, 29.14, 19.21, 9.03, 17.81, 29.1, 18.12, 29.11, 9.04, 14.24, 28.47, 17.67, 15.3, 9.78, 17.9, 14.12, 27.75, 24.99, 17.39, 10.06, 17.63, 5.43, 20.09, 23.99, 20.92, 29.36, 6.29, 22.34]",{'move': 69},2025-05-12T03:20:23.369026,True,9,192.168.1.9,False,5.35,False,0.22,0.08,0.48,23,12,49.39,2025-05-12T03:01:27.449026,10,0.4,0.8,8,10,False,0,0.0,0,0,0,81.33
18.31,1.25,0.58,5,84,"[23.71, 6.83, 22.11, 22.11, 21.33, 16.41, 6.57, 8.27, 14.86, 10.94, 28.65, 9.97, 25.14, 2.55, 23.13, 7.65, 9.08, 3.56, 11.68, 0.65, 7.96, 8.35, 25.41, 29.18, 11.88, 14.67, 0.97, 5.84, 22.93, 11.63, 4.9, 26.26, 7.56, 29.84, 28.9, 25.52, 9.58, 15.81, 26.82, 13.18, 1.51, 9.25, 26.16, 21.55, 3.87, 29.54, 9.05, 13.86, 17.95, 26.75, 4.14, 25.45, 15.74, 5.01, 24.24, 17.72, 27.45, 21.59, 29.59, 11.79, 4.99, 0.2, 29.79, 29.99, 9.25, 19.74, 0.77, 1.15, 3.76, 28.71, 19.27, 4.17, 15.01, 5.28, 6.56, 5.73, 13.08, 19.78, 25.39, 24.47, 22.61, 22.6, 6.28, 4.27]",{'move': 84},2025-04-20T19:22:34.899119,True,10,192.168.1.154,False,7.0,True,0.15,0.02,0.67,17,14,74.56,2025-04-20T19:01:27.449119,4,0.74,0.0,0,4,False,0,0.0,0,0,0,120.28
14.16,0.74,0.77,7,91,"[23.86, 16.57, 4.98, 10.35, 10.25, 12.03, 8.48, 13.36, 4.07, 16.83, 12.9, 16.79, 13.29, 5.03, 10.43, 20.37, 14.98, 23.94, 2.07, 6.68, 21.68, 29.76, 28.43, 11.71, 1.89, 23.49, 6.92, 20.84, 22.18, 6.54, 16.98, 27.76, 18.4, 11.01, 4.06, 14.76, 11.55, 8.64, 21.48, 6.57, 24.45, 8.61, 2.8, 20.28, 6.73, 9.34, 25.11, 17.0, 13.86, 0.46, 4.36, 27.57, 0.83, 8.67, 21.3, 10.91, 14.01, 23.46, 29.34, 6.56, 26.84, 22.46, 13.28, 18.64, 28.73, 14.02, 22.4, 12.83, 23.42, 25.45, 19.08, 15.05, 11.89, 2.95, 16.15, 23.72, 7.41, 3.29, 26.79, 15.7, 10.06, 0.85, 29.88, 11.14, 1.67, 6.83, 9.49, 23.83, 9.92, 3.29, 14.56]",{'move': 91},2025-04-25T21:23:16.629225,True,4,192.168.1.27,False,8.31,True,0.24,0.06,0.35,43,16,30.45,2025-04-25T21:01:27.449225,1,0.59,0.0,0,1,False,0,0.0,0,0,0,68.67000000000002
31.13,0.93,0.45,6,19,"[25.7, 1.35, 23.62, 24.8, 14.8, 21.03, 3.69, 12.12, 24.66, 19.41, 19.07, 28.8, 29.37, 3.85, 29.14, 12.38, 18.11, 15.0, 17.91]",{'move': 19},2025-04-23T02:07:12.259330,True,9,192.168.1.227,False,0.56,True,0.22,0.01,0.56,34,26,10.14,2025-04-23T02:01:27.449330,7,0.45,0.43,3,7,False,0,0.0,0,0,0,61.88000000000001
26.64,0.51,0.22,7,7,"[23.88, 4.15, 22.66, 9.85, 21.78, 1.62, 4.48]",{'move': 7},2025-05-07T14:02:55.869372,True,7,192.168.1.129,False,7.15,True,0.18,0.03,0.75,21,6,4.21,2025-05-07T14:01:27.449372,1,0.87,0.0,0,1,False,0,0.0,0,0,0,56.56
11.56,0.92,0.41,2,91,"[28.65, 19.96, 13.96, 17.57, 7.03, 4.54, 23.14, 2.18, 23.07, 3.24, 9.81, 3.45, 7.5, 6.67, 12.27, 23.19, 29.16, 17.55, 4.51, 4.68, 4.19, 29.52, 20.89, 8.16, 4.4, 29.92, 11.51, 14.58, 16.25, 22.02, 1.98, 5.76, 25.84, 15.77, 5.23, 18.6, 26.06, 24.14, 20.18, 28.68, 9.92, 2.58, 21.86, 29.69, 19.76, 9.73, 9.34, 9.56, 17.7, 13.46, 16.36, 1.13, 12.7, 15.1, 4.59, 7.41, 3.8, 5.95, 1.11, 15.0, 4.95, 23.41, 18.06, 26.23, 4.9, 9.81, 23.35, 2.97, 14.83, 0.14, 23.45, 25.76, 23.95, 8.83, 5.88, 14.99, 8.51, 14.09, 5.46, 27.37, 22.49, 13.53, 21.57, 0.65, 23.71, 12.1, 8.03, 29.59, 20.63, 20.52, 14.29]",{'move': 91},2025-04-15T17:23:04.059402,True,7,192.168.1.217,False,5.36,True,0.02,0.17,0.84,39,35,33.25,2025-04-15T17:01:27.449402,10,0.47,0.5,5,10,False,0,0.0,0,0,0,64.5
12.89,1.46,0.3,5,93,"[2.98, 2.66, 28.22, 8.71, 25.23, 11.79, 8.76, 5.62, 3.41, 4.82, 4.32, 26.53, 17.1, 4.88, 15.74, 26.26, 7.81, 16.97, 13.71, 22.97, 2.91, 20.95, 13.49, 6.66, 18.46, 17.44, 12.25, 15.53, 27.59, 12.89, 2.01, 19.04, 17.27, 22.64, 15.29, 4.77, 11.0, 25.7, 25.74, 0.81, 8.22, 26.14, 2.38, 19.84, 19.35, 11.11, 18.87, 19.05, 3.72, 13.71, 13.06, 7.08, 8.65, 12.61, 19.55, 23.53, 14.06, 9.3, 8.47, 29.75, 22.92, 20.37, 25.55, 14.68, 23.64, 27.14, 2.59, 10.72, 14.13, 26.32, 20.8, 22.86, 3.65, 4.82, 9.29, 16.77, 19.21, 29.41, 6.42, 7.62, 24.02, 28.97, 4.65, 7.77, 0.51, 29.05, 6.96, 15.56, 11.14, 11.85, 3.01, 16.67, 8.73]",{'move': 93},2025-05-03T06:23:44.629503,True,4,192.168.1.59,False,0.41,False,0.16,0.08,0.89,12,2,111.43,2025-05-03T06:01:27.449503,8,0.45,1.0,8,8,False,0,0.0,0,0,0,139.07
7.65,1.47,0.2,6,24,"[9.57, 25.95, 21.27, 11.93, 7.04, 10.71, 27.1, 12.75, 17.69, 17.68, 17.47, 4.37, 27.98, 14.58, 14.9, 0.73, 13.34, 29.09, 16.5, 14.44, 9.65, 24.68, 16.26, 29.09]",{'move': 24},2025-04-17T04:08:02.219618,True,10,192.168.1.202,False,8.79,True,0.22,0.14,0.63,8,3,49.35,2025-04-17T04:01:27.449618,1,0.78,0.0,0,1,False,0,0.0,0,0,0,87.23
30.37,1.59,0.47,4,13,"[8.78, 25.06, 1.74, 28.42, 20.67, 17.14, 13.36, 11.18, 13.17, 26.65, 19.04, 1.68, 18.82]",{'move': 13},2025-05-11T19:04:53.159697,True,8,192.168.1.215,False,4.63,True,0.04,0.14,0.82,40,1,5.14,2025-05-11T19:01:27.449697,2,0.86,0.0,0,2,False,0,0.0,0,0,0,58.06
7.6,1.03,0.4,6,100,"[29.15, 23.99, 1.04, 7.36, 17.79, 23.78, 19.6, 23.24, 15.28, 5.94, 27.42, 21.98, 13.74, 6.03, 17.84, 16.97, 3.02, 25.69, 12.9, 13.12, 9.68, 22.02, 7.06, 13.8, 5.1, 23.3, 5.23, 3.95, 24.94, 18.6, 10.67, 21.98, 28.36, 4.85, 10.99, 20.59, 6.56, 19.96, 27.41, 1.55, 5.51, 13.84, 8.92, 18.05, 0.72, 2.69, 27.57, 3.27, 4.61, 16.79, 9.35, 21.85, 27.64, 20.75, 29.04, 21.52, 23.53, 19.1, 4.58, 3.12, 4.41, 28.39, 17.28, 26.52, 9.76, 29.33, 2.97, 26.87, 3.92, 2.99, 26.75, 9.89, 18.05, 22.25, 18.4, 17.21, 8.73, 4.31, 10.86, 16.18, 0.71, 21.62, 29.95, 17.5, 2.05, 24.01, 22.84, 24.72, 18.37, 15.39, 26.73, 4.59, 2.85, 26.34, 1.69, 20.24, 1.19, 17.68, 5.1, 18.62]",{'move': 100},2025-04-23T20:26:29.639950,True,7,192.168.1.18,False,1.18,False,0.25,0.11,0.71,22,9,68.28,2025-04-23T20:01:27.449950,7,0.99,0.0,0,7,False,0,0.0,0,0,0,94.55
